,quality_assessment,Pre-screening,MA_detection_Confidence0.5,MA_detection_Confidence0.6,MA_detection_Confidence0.7,MA_detection_Confidence0.8,MA_detection_Confidence0.9,MA_detection_Confidence1.0,Exudates_Confidence0.3,Exudates_Confidence0.4,Exudates_Confidence0.5,Exudates_Confidence0.6,Exudates_Confidence0.7,Exudates_Confidence0.8,Exudates_Confidence0.9,Exudates_Confidence1.0,Distance_Between_macula_and_optic_disk ,Diameter_optic_disc,AM/FM,Class
0,1.0,1.0,0.14,0.16030534351145037,0.1764705882352941,0.1730769230769231,0.17708333333333334,0.14772727272727273,0.12276444505289494,0.1063593742905097,0.04969280124693396,0.012913018062524085,0.00036232667553529524,0.00034151623955990977,0.0006606825188929433,0.0012709147767897204,0.5308012741975006,0.26113346518447794,1.0,0
1,1.0,1.0,0.15333333333333335,0.17557251908396945,0.1764705882352941,0.16346153846153846,0.15625,0.13636363636363638,0.14212613194811044,0.14240286478257616,0.031351184271622964,0.003918357023705788,7.589958214975619e-05,0.00019419258202248366,0.0006573142674583631,0.0012644354763727452,0.682301574925932,0.5363406967444342,0.0,0
2,1.0,1.0,0.40666666666666673,0.45038167938931295,0.4873949579831932,0.5096153846153847,0.47916666666666663,0.36363636363636365,0.1374716663452925,0.16749652355927053,0.11961416041762274,0.08118783549630065,0.027106224100215605,0.018571040129402014,0.007042508511992407,0.0025087851214528668,0.726836114143147,0.4379731296460479,0.0,1
3,1.0,1.0,0.36000000000000004,0.3969465648854962,0.43697478991596633,0.47115384615384615,0.43749999999999994,0.34090909090909094,0.09940278624560202,0.1103679561115696,0.08597052032348572,0.05152464219653807,0.01634011242550251,0.013554871096775124,0.001288861411442186,0.0004959904469194653,0.5146777750551337,0.3526749455959031,0.0,0
4,1.0,1.0,0.2866666666666667,0.3282442748091603,0.361344537815126,0.38461538461538464,0.3958333333333333,0.29545454545454547,0.043799368841386625,0.0512812530464423,0.0038689605360198998,0.0,0.0,0.0,0.0,0.0,0.4819362455726095,0.40712244176746665,0.0,1
5,1.0,1.0,0.2866666666666667,0.32061068702290074,0.3361344537815126,0.38461538461538464,0.37499999999999994,0.3181818181818182,0.06939502346335115,0.0414980959864598,0.021738182333244326,0.005416513479266958,0.0,0.0,0.0,0.0,0.6017642734623871,0.42676991561940086,0.0,1
6,1.0,0.0,0.1866666666666667,0.21374045801526714,0.23529411764705882,0.25,0.24999999999999997,0.17045454545454547,0.037412052356105674,0.05453085134012527,0.015400128058718005,0.0,0.0,0.0,0.0,0.0,0.7751264173219576,0.5063393947660468,0.0,1
7,1.0,1.0,0.03333333333333333,0.03816793893129771,0.04201680672268908,0.04807692307692308,0.010416666666666666,0.0,0.05037385307381156,0.05682824691013976,0.011536333917764492,0.0025161746736081466,0.0,0.0,0.0,0.0,0.9291662025795819,0.08162164508069175,1.0,0
8,1.0,1.0,0.14,0.15267175572519082,0.14285714285714285,0.13461538461538464,0.12499999999999999,0.10227272727272728,0.16438139271862823,0.14088040425814108,0.057991059345927604,0.008305240355150371,0.0,0.0,0.0,0.0,0.589476732529906,0.36509333945056516,0.0,1
9,1.0,1.0,0.52,0.564885496183206,0.6050420168067226,0.6730769230769231,0.65625,0.5227272727272727,0.05399667723047751,0.060158548158629664,0.008245802219159007,0.0016695077132410853,0.00045477520577868265,0.0,0.0,0.0,0.8607382326078725,0.3176083277017601,0.0,1
10,1.0,1.0,0.2933333333333334,0.3358778625954198,0.36974789915966383,0.40384615384615385,0.40624999999999994,0.3522727272727273,0.2081547153142613,0.30501420298409826,0.1630405109858866,0.033035756160250056,0.0,0.0,0.0,0.0,0.794127998930743,0.3377207938348223,0.0,0
11,1.0,0.0,0.16000000000000003,0.18320610687022898,0.20168067226890757,0.21153846153846156,0.21875,0.1931818181818182,0.05483481281146441,0.08346721649184508,0.004112676738321298,0.0019428900195814951,0.0,0.0,0.0,0.0,0.8194070080862534,0.5068477863267471,1.0,0
12,1.0,1.0,0.46,0.5190839694656488,0.5378151260504201,0.5961538461538463,0.6458333333333334,0.5568181818181819,0.025300007928346375,0.01859828552771227,0.005897147708705673,0.0048180975305390835,0.0020221414424397635,0.00023877279044988447,0.0,0.0,0.7423937983114657,0.19641893944560523,0.0,1
13,1.0,1.0,0.31333333333333335,0.32061068702290074,0.31932773109243695,0.2980769230769231,0.2708333333333333,0.1931818181818182,0.05615484358310174,0.04031308247012095,0.022663344159256502,0.0031662586902703625,0.00022240930593050515,0.0,0.0,0.0,0.5960749370697913,0.4983539273248064,1.0,1
14,1.0,1.0,0.62,0.7022900763358778,0.7647058823529411,0.8461538461538463,0.8854166666666666,0.8636363636363636,0.020470158819709018,0.011854855999045587,0.0037822442918216763,0.001105894090064838,0.0,0.0,0.0,0.0,0.773050277338442,0.4129069457447006,0.0,0
15,1.0,1.0,0.12666666666666668,0.1297709923664122,0.12605042016806722,0.13461538461538464,0.12499999999999999,0.09090909090909091,0.1604708160215948,0.198196099887306,0.08282616555098302,0.011269628825334006,0.001007541186461957,0.00014593052602406982,0.00016470749515098103,0.00031683779039009597,0.8986032835089444,0.19858270352712154,1.0,0
16,1.0,1.0,0.6933333333333334,0.7175572519083969,0.6722689075630253,0.6250000000000001,0.46874999999999994,0.3522727272727273,0.304031964293729,0.4222485936172854,0.35269028521253665,0.3335878699572957,0.2875485325614069,0.3042455434096048,0.39505210600763013,0.3246916743905327,0.6981310284912343,0.4733063431147044,1.0,1
17,1.0,1.0,0.16000000000000003,0.18320610687022898,0.19327731092436976,0.21153846153846156,0.21875,0.20454545454545456,0.04134094715577003,0.0596951643331568,0.010061676952255308,0.008112104180226119,0.009096865368648333,0.015259616276851054,0.031825765742491456,0.04215238472271672,0.8208326836114144,0.313231200362074,0.0,0
18,1.0,1.0,0.42000000000000004,0.4809160305343511,0.5210084033613446,0.5480769230769231,0.5625,0.44318181818181823,0.04788075261578566,0.03628800464917947,0.008554173781616029,0.001340307830919795,0.0,0.0,0.0,0.0,0.8171793900781892,0.2522428127693081,0.0,0
19,1.0,0.0,0.30000000000000004,0.30534351145038163,0.31932773109243695,0.2980769230769231,0.22916666666666666,0.15909090909090912,0.28539991173315826,0.1274045963838985,0.09112598865286174,0.03809308621518201,0.006405590254112501,0.009254373624438116,0.019949816421876185,0.023227644064815034,0.7694638123454594,0.2916617584148104,1.0,1
20,1.0,1.0,0.24000000000000002,0.27480916030534347,0.3025210084033613,0.3173076923076923,0.31249999999999994,0.25,0.15116421391327706,0.21040873419934358,0.07649684135279151,0.020159765764286425,0.003471175893966008,0.0005359575950669213,0.0,0.0,0.491978347552962,0.3278939569603145,0.0,0
21,1.0,1.0,0.12000000000000001,0.12213740458015267,0.11764705882352941,0.10576923076923078,0.11458333333333333,0.06818181818181818,0.4443984186182449,0.2074906115652324,0.1227391506363547,0.017487449118539916,0.0004473272068129238,0.00024882323922481185,0.0003368251434580389,0.0,0.4573878951237442,0.2238658838263285,1.0,1
22,1.0,0.0,0.24000000000000002,0.25190839694656486,0.2521008403361344,0.27884615384615385,0.28124999999999994,0.26136363636363635,0.020984076620720823,0.018916514127531498,0.017921338278843017,0.025511560303537184,0.025141760895197356,0.008250871142549446,0.0,0.0,0.7594439865451874,0.2502526458060797,0.0,1
